title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Mission: Impossible II",movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,391535,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,403932,
"Seven Years in Tibet",movie,"Adventure, Biography, Drama",1997,tt0120102,7.1,161687,
Irreversible,movie,"Crime, Drama, Mystery",2002,tt0290673,7.3,155030,
"Adam's Apples",movie,"Comedy, Crime, Drama",2005,tt0418455,7.7,56815,
"Whale Rider",movie,"Drama, Family",2002,tt0298228,7.5,44806,
"Point Break",movie,"Action, Crime, Thriller",1991,tt0102685,7.3,213631,
"The Thirteenth Floor",movie,"Mystery, Sci-Fi, Thriller",1999,tt0139809,7,79930,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1512950,
Dreamgirls,movie,"Drama, Musical",2006,tt0443489,6.6,78934,
Babel,movie,Drama,2006,tt0449467,7.5,323735,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117679,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,261083,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,88614,
"Ghost Rider",movie,"Action, Fantasy, Thriller",2007,tt0259324,5.3,260825,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173634,
"Don't Worry, I'm Fine",movie,Drama,2006,tt0485241,7.3,11545,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,138433,
"Bridge to Terabithia",movie,"Drama, Family, Fantasy",2007,tt0398808,7.2,182182,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123836,
"Mr. Bean's Holiday",movie,"Comedy, Family",2007,tt0453451,6.4,138206,
300,movie,"Action, Drama",2006,tt0416449,7.6,890395,
TMNT,movie,"Action, Adventure, Animation",2007,tt0453556,6.2,70809,
3-Iron,movie,"Crime, Drama, Romance",2004,tt0423866,7.9,59906,
Bean,movie,"Adventure, Comedy, Family",1997,tt0118689,6.5,113717,
"Torrente, the Dumb Arm of the Law",movie,"Comedy, Crime",1998,tt0120868,6.8,14172,
"Torrente 2: Mission in Marbella",movie,"Action, Comedy, Crime",2001,tt0257231,6.4,8289,
"Torrente 3: El protector",movie,"Comedy, Crime",2005,tt0444505,5.6,6541,
"Four Minutes",movie,"Drama, Music",2006,tt0461694,7.3,7595,
"American Psycho",movie,"Crime, Drama, Horror",2000,tt0144084,7.6,779224,
Frida,movie,"Biography, Drama, Romance",2002,tt0120679,7.3,98623,
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39743,
"Monster's Ball",movie,"Drama, Romance",2001,tt0285742,7,96403,
"First Blood",movie,"Action, Adventure, Thriller",1982,tt0083944,7.7,289138,
"Rambo: First Blood Part II",movie,"Action, Adventure, Thriller",1985,tt0089880,6.5,189620,
"Rambo III",movie,"Action, Adventure, Thriller",1988,tt0095956,5.8,145074,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,606540,
"Lights in the Dusk",movie,"Crime, Drama",2006,tt0458242,6.8,8486,
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,134430,
"The Pursuit of Happyness",movie,"Biography, Drama",2006,tt0454921,8,590932,
"Cutthroat Island",movie,"Action, Adventure, Comedy",1995,tt0112760,5.7,31911,
"Sex, Lies, and Videotape",movie,Drama,1989,tt0098724,7.2,62087,
"Pan's Labyrinth",movie,"Drama, Fantasy, War",2006,tt0457430,8.2,724390,
"Take My Eyes",movie,"Drama, Romance",2003,tt0350193,7.4,7715,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1486134,
"Perfume: The Story of a Murderer",movie,"Crime, Drama, Fantasy",2006,tt0396171,7.5,272852,
"Once Upon a Time in Mexico",movie,"Action, Crime, Thriller",2003,tt0285823,6.3,173553,
"Little Children",movie,"Drama, Romance",2006,tt0404203,7.5,119565,
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,178791,
Hellboy,movie,"Action, Adventure, Fantasy",2004,tt0167190,6.9,360992,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,239953,
"Curse of the Golden Flower",movie,"Action, Drama, Romance",2006,tt0473444,7,46736,
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,172305,
"Changing Lanes",movie,"Drama, Thriller",2002,tt0264472,6.5,76457,
"The Lost Boys",movie,"Comedy, Horror",1987,tt0093437,7.2,169507,
"Down by Law",movie,"Comedy, Crime, Drama",1986,tt0090967,7.6,57083,
"The Spanish Apartment",movie,"Comedy, Drama, Romance",2002,tt0283900,7.3,43443,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,250128,
"Resident Evil",movie,"Action, Horror, Sci-Fi",2002,tt0120804,6.6,299208,
