title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,178791,
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",movie,"Action, Adventure, Comedy",1991,tt0103060,6,62638,
"Teenage Mutant Ninja Turtles",movie,"Action, Adventure, Comedy",1990,tt0100758,6.8,108529,
"Teenage Mutant Ninja Turtles III",movie,"Action, Adventure, Comedy",1993,tt0108308,4.8,37514,
"Changing Lanes",movie,"Drama, Thriller",2002,tt0264472,6.5,76457,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,448405,
"Ghost World",movie,"Comedy, Drama",2001,tt0162346,7.3,129716,
Flatliners,movie,"Drama, Horror, Sci-Fi",1990,tt0099582,6.6,96194,
"Down by Law",movie,"Comedy, Crime, Drama",1986,tt0090967,7.6,57083,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,250128,
"Resident Evil",movie,"Action, Horror, Sci-Fi",2002,tt0120804,6.6,299208,
"Raging Bull",movie,"Biography, Drama, Sport",1980,tt0081398,8.1,395343,
"The Holiday",movie,"Comedy, Romance",2006,tt0457939,7,348295,
Lammbock,movie,"Comedy, Crime",2001,tt0258760,7.2,12144,
"School of Rock",movie,"Comedy, Music",2003,tt0332379,7.2,345016,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,261807,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,110001,
"Primal Fear",movie,"Crime, Drama, Mystery",1996,tt0117381,7.7,259887,
"A Shot in the Dark",movie,"Comedy, Crime, Mystery",1964,tt0058586,7.3,32429,
"Meet the Parents",movie,"Comedy, Romance",2000,tt0212338,7,367868,
"Cape Fear",movie,"Crime, Thriller",1991,tt0101540,7.3,226606,
"The Double Life of Véronique",movie,"Drama, Fantasy, Music",1991,tt0101765,7.6,55168,
